Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,50D $ Volume
2020-01-29,0.38,0.38,0.38,0.38,0.0,0.0,0.0,0.0,15.56
2020-01-30,0.38,0.38,0.38,0.38,0.0,0.0,0.0,0.0,15.56
2020-01-31,0.22,0.22,0.22,0.22,1300.0,0.0,-0.4211,286.0,21.28
2020-02-03,0.22,0.37,0.22,0.37,25300.0,0.6818,0.6818,9361.0,208.5
2020-02-04,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,208.5
2020-02-05,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,208.5
2020-02-06,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,208.5
2020-02-07,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,208.5
2020-02-10,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,208.5
2020-02-11,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,208.5
2020-02-12,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,208.5
2020-02-13,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,208.5
2020-02-14,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,208.5
2020-02-17,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,208.14
2020-02-18,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-02-19,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-02-20,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-02-21,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-02-24,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-02-25,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-02-26,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-02-27,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-02-28,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-02,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-03,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-04,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-05,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-06,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-09,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-10,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-11,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-12,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-13,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-16,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-17,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-18,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-19,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-20,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-23,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-24,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-25,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-26,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-27,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-30,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-03-31,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-04-01,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-04-02,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-04-03,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-04-06,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-04-07,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-04-08,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-04-09,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,192.94
2020-04-13,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,187.22
2020-04-14,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-04-15,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-04-16,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-04-17,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-04-20,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-04-21,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-04-22,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-04-23,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-04-24,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-04-27,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-04-28,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-04-29,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-04-30,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-05-04,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-05-05,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-05-06,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-05-08,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-05-11,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-05-12,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-05-13,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-05-14,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-05-15,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-05-18,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-05-19,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-05-20,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-05-21,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-05-22,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-05-26,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-05-27,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-05-28,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-05-29,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-02,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-03,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-04,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-05,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-08,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-09,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-10,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-11,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-12,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-15,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-16,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-17,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-18,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-19,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-23,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-24,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-25,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-26,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-06-30,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-01,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-02,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-03,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-06,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-07,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-08,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-09,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-14,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-15,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-16,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-17,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-21,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-22,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-23,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-24,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-28,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-29,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-07-30,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-08-04,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-08-05,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-08-06,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-08-07,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-08-11,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-08-12,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-08-13,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-08-14,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-08-17,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-08-18,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-08-19,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-08-20,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-08-21,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-08-24,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-08-25,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-08-26,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-08-27,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-08-28,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-09-01,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-09-02,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-09-03,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-09-04,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-09-07,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-09-08,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-09-09,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-09-10,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-09-11,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.18,0.18,0.18,0.18,3200.0,0.0,-0.5135,576.0,11.52
2020-09-15,0.21,0.4,0.21,0.4,8700.0,0.9048,1.2222,3480.0,81.12
2020-09-16,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-09-17,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-09-18,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-09-21,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-09-22,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-09-23,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-09-24,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-09-25,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-09-28,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-09-29,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-09-30,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-01,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-02,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-05,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-06,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-07,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-08,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-09,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-12,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-13,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-14,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-15,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-16,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-19,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-20,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-21,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-22,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-23,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-26,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-27,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-28,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-29,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-10-30,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-11-02,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-11-03,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-11-04,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-11-05,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-11-06,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-11-09,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-11-10,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,81.12
2020-11-11,0.33,0.33,0.33,0.33,50300.0,0.0,-0.175,16599.0,413.1
2020-11-12,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,413.1
2020-11-13,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,413.1
2020-11-16,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,413.1
2020-11-17,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,413.1
2020-11-18,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,413.1
2020-11-19,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,413.1
2020-11-20,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,413.1
2020-11-23,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,401.58
2020-11-24,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-11-25,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-11-26,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-11-27,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-11-30,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-01,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-02,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-03,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-04,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-07,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-08,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-09,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-10,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-11,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-14,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-15,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-16,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-17,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-18,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-21,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-22,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-23,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-24,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-28,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-29,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-30,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2020-12-31,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2021-01-04,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2021-01-05,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2021-01-06,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2021-01-07,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,331.98
2021-01-08,0.22,0.22,0.22,0.22,1600.0,0.0,-0.3333,352.0,339.02
2021-01-11,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,339.02
2021-01-12,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,339.02
2021-01-13,0.22,0.22,0.22,0.22,8300.0,0.0,0.0,1826.0,375.54
2021-01-14,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,375.54
2021-01-15,0.22,0.22,0.22,0.22,500.0,0.0,0.0,110.0,377.74
2021-01-18,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,377.74
2021-01-19,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,377.74
2021-01-20,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,377.74
2021-01-21,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,377.74
2021-01-22,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,45.76
2021-01-25,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,45.76
2021-01-26,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,45.76
2021-01-27,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,45.76
2021-01-28,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,45.76
2021-01-29,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,45.76
2021-02-01,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,45.76
2021-02-02,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,45.76
2021-02-03,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,45.76
2021-02-04,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,45.76
2021-02-05,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,45.76
2021-02-08,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,45.76
2021-02-09,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,45.76
2021-02-10,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,45.76
2021-02-11,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,45.76
2021-02-15,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,45.76
2021-02-16,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,45.76
2021-02-17,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,45.76
2021-02-18,0.24,0.31,0.24,0.31,9500.0,0.2917,0.4091,2945.0,104.66
2021-02-19,0.31,0.31,0.31,0.31,0.0,0.0,0.0,0.0,104.66
2021-02-22,0.31,0.31,0.31,0.31,0.0,0.0,0.0,0.0,104.66
2021-02-23,0.31,0.31,0.31,0.31,0.0,0.0,0.0,0.0,104.66
2021-02-24,0.31,0.31,0.31,0.31,0.0,0.0,0.0,0.0,104.66
2021-02-25,0.3,0.3,0.3,0.3,30000.0,0.0,-0.0323,9000.0,284.66
2021-02-26,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,284.66
2021-03-01,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,284.66
2021-03-02,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,284.66
2021-03-03,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,284.66
2021-03-04,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,284.66
2021-03-05,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,284.66
2021-03-08,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,284.66
2021-03-09,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,284.66
2021-03-10,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,284.66
2021-03-11,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,284.66
2021-03-12,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,284.66
2021-03-15,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,284.66
2021-03-16,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,284.66
2021-03-17,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,284.66
2021-03-18,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,284.66
2021-03-19,0.25,0.3,0.25,0.3,1000.0,0.2,0.0,300.0,290.66
2021-03-22,0.25,0.3,0.25,0.3,1100.0,0.2,0.0,330.0,290.22
2021-03-23,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,290.22
2021-03-24,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,290.22
2021-03-25,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,253.7
2021-03-26,0.3,0.35,0.3,0.35,30100.0,0.1667,0.1667,10535.0,464.4
2021-03-29,0.35,0.35,0.35,0.35,0.0,0.0,0.0,0.0,462.2
2021-03-30,0.3,0.3,0.3,0.3,300.0,0.0,-0.1429,90.0,464.0
2021-03-31,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-01,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-05,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-06,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-07,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-08,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-09,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-12,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-13,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-14,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-15,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-16,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-19,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-20,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-21,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-22,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-23,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-26,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-27,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-28,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-29,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,464.0
2021-04-30,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,405.1
2021-05-03,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,405.1
2021-05-04,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,405.1
2021-05-05,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,405.1
2021-05-06,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,405.1
2021-05-07,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,225.1
2021-05-10,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,225.1
